ID,Name,Refl_file,Specular,m_d_tot,m_d,m_w_tot,V_tot,SMCv,SMCg,Clay,Silt,Sand,Density,OM,L,eps,d,K,a,psi,Slope,Intercept
1,Ithaca soil,phil14_129.csv,0,57.34,26.94,59.10,24.50,7.18,6.53,192,770,38,0.95,53,0.0134,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_130.csv,0,57.34,26.94,59.06,24.50,7.02,6.38,192,770,38,0.95,53,0.0133,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_131.csv,0,57.34,26.94,59.01,24.50,6.82,6.20,192,770,38,0.95,53,0.0137,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_132.csv,0,57.34,26.94,58.98,24.50,6.69,6.09,192,770,38,0.95,53,0.0110,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_133.csv,0,57.34,26.94,58.94,24.50,6.53,5.94,192,770,38,0.95,53,0.0120,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_134.csv,0,57.34,26.94,58.90,24.50,6.37,5.79,192,770,38,0.95,53,0.0125,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_135.csv,0,57.34,26.94,58.86,24.50,6.20,5.64,192,770,38,0.95,53,0.0107,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_136.csv,0,57.34,26.94,58.82,24.50,6.04,5.49,192,770,38,0.95,53,0.0118,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_137.csv,0,57.34,26.94,58.78,24.50,5.88,5.35,192,770,38,0.95,53,0.0107,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_138.csv,0,57.34,26.94,58.75,24.50,5.76,5.23,192,770,38,0.95,53,0.0088,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_139.csv,0,57.34,26.94,58.71,24.50,5.59,5.09,192,770,38,0.95,53,0.0109,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_140.csv,0,57.34,26.94,58.67,24.50,5.43,4.94,192,770,38,0.95,53,0.0123,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_141.csv,0,57.34,26.94,58.63,24.50,5.27,4.79,192,770,38,0.95,53,0.0124,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_142.csv,0,57.34,26.94,58.59,24.50,5.10,4.64,192,770,38,0.95,53,0.0095,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
1,Ithaca soil,phil14_143.csv,0,57.34,26.94,58.56,24.50,4.98,4.53,192,770,38,0.95,53,0.0089,0.01,0.0000,41.87,7.35,910.85,1.1161,0.0156
