Wvl	alpha
1896	84.686019
1897	87.524244
1898	91.893714
1899	94.563000
1900	97.217670
1901	99.951994
1902	103.309303
1903	105.681475
1904	107.840000
1905	109.731064
1906	112.248032
1907	114.034698
1908	115.650000
1909	117.125733
1910	118.998841
1911	120.333063
1912	121.520000
1913	122.571782
1914	123.947593
1915	124.810000
1916	125.709798
1917	126.449055
1918	127.533009
1919	128.090000
1920	128.611044
1921	129.192591
1922	129.590000
1923	129.868376
1924	130.315286
1925	130.439061
1926	130.550000
1927	130.602571
1928	130.613990
1929	130.480000
1930	130.356556
1931	130.134827
1932	129.890000
1933	129.604199
1934	129.068316
1935	128.650000
1936	128.182842
1937	127.485606
1938	126.960000
1939	126.371476
1940	125.592201
1941	124.890000
1942	124.190107
1943	123.187076
1944	122.430000
1945	121.614809
1946	120.597659
1947	119.720000
1948	119.026766
1949	117.765796
1950	117.001564
1951	115.646597
1952	114.910000
1953	113.991318
1954	112.825066
1955	111.840000
1956	111.042753
1957	109.690428
1958	108.810273
1959	107.588528
1960	106.620000
1961	105.772010
1962	104.412649
1963	103.550546
1964	102.319099
1965	101.360000
1966	100.499270
1967	99.281000
1968	98.313523
1969	97.108839
1970	96.309946
1971	94.878573
1972	94.120000
1973	93.406182
1974	92.063494
1975	91.207094
1976	90.086628
1977	89.285652
1978	88.041080
1979	87.246000
1980	86.110251
1981	85.320000
1982	84.602022
1983	83.356211
1984	82.616604
1985	81.509079
1986	80.761072
1987	79.728937
1988	79.035126
1989	78.002115
1990	77.228000
1991	76.277843
1992	75.574000
1993	74.626018
1994	73.923000
1995	72.984477
1996	72.338000
1997	71.406556
1998	70.819000
1999	69.863605
2000	69.241000
2001	68.653022
2002	67.790000
2003	66.876717
2004	66.343000
2005	65.482034
2006	64.898000
2007	64.118696
2008	63.582000
2009	62.805196
2010	62.319629
2011	61.559020
2012	61.051830
2013	60.292266
2014	59.796002
2015	59.066605
2016	58.568710
2017	57.879552
2018	57.460410
2019	56.795000
2020	56.316369
2021	55.662000
2022	55.029574
2023	54.630516
2024	53.982057
2025	53.561282
2026	52.937110
2027	52.562931
2028	51.970000
2029	51.384451
2030	50.982000
2031	50.470534
2032	50.059288
2033	49.509459
2034	49.154346
2035	48.598000
2036	48.061064
2037	47.731528
2038	47.180824
2039	46.849353
2040	46.348000
2041	45.841663
2042	45.531026
2043	45.027586
2044	44.731418
2045	44.256000
2046	43.785741
2047	43.483574
2048	43.017710
2049	42.732637
2050	42.278000
2051	41.858587
2052	41.551123
2053	41.152000
2054	40.720635
2055	40.456052
2056	40.016479
2057	39.750060
2058	39.335000
2059	38.940864
2060	38.682829
2061	38.272000
2062	37.895849
2063	37.616873
2064	37.261000
2065	36.873103
2066	36.635370
2067	36.283000
2068	35.916257
2069	35.681091
2070	35.362000
2071	34.992472
2072	34.785835
2073	34.469000
2074	34.133174
2075	33.917047
2076	33.626000
2077	33.292392
2078	33.094326
2079	32.797000
2080	32.512954
2081	32.306412
2082	32.001000
2083	31.718371
2084	31.540194
2085	31.267719
2086	30.971560
2087	30.709800
2088	30.521201
2089	30.252000
2090	29.988981
2091	29.802627
2092	29.574657
2093	29.285412
2094	29.056890
2095	28.875769
2096	28.646000
2097	28.397270
2098	28.224200
2099	27.992985
2100	27.760000
2101	27.505893
2102	27.367213
2103	27.134000
2104	26.920407
2105	26.707344
2106	26.573613
2107	26.367000
2108	26.167511
2109	25.967695
2110	25.843544
2111	25.650000
2112	25.464866
2113	25.278569
2114	25.175306
2115	25.006486
2116	24.848000
2117	24.661606
2118	24.545371
2119	24.379443
2120	24.202000
2121	24.013797
2122	23.860245
2123	23.741717
2124	23.582000
2125	23.420060
2126	23.278548
2127	23.180162
2128	23.038782
2129	22.890000
2130	22.753547
2131	22.616583
2132	22.517827
2133	22.392909
2134	22.271000
2135	22.134913
2136	22.015512
2137	21.943277
2138	21.834358
2139	21.719000
2140	21.616000
2141	21.495265
2142	21.399572
2143	21.330808
2144	21.228463
2145	21.120000
2146	21.017457
2147	20.908872
2148	20.848878
2149	20.766256
2150	20.664571
2151	20.576000
2152	20.488372
2153	20.403406
2154	20.325938
2155	20.265380
2156	20.174911
2157	20.099000
2158	20.020000
2159	19.944739
2160	19.869801
2161	19.830860
2162	19.764283
2163	19.694464
2164	19.633000
2165	19.584000
2166	19.522609
2167	19.462930
2168	19.417337
2169	19.380940
2170	19.328505
2171	19.278623
2172	19.231000
2173	19.177000
2174	19.130128
2175	19.091243
2176	19.037932
2177	18.996333
2178	18.956626
2179	18.892714
2180	18.836293
2181	18.795000
2182	18.735000
2183	18.694686
2184	18.656139
2185	18.601434
2186	18.555424
2187	18.517341
2188	18.487216
2189	18.447135
2190	18.426583
2191	18.390159
2192	18.374000
2193	18.371000
2194	18.375168
2195	18.371313
2196	18.363136
2197	18.354100
2198	18.347355
2199	18.345107
2200	18.336268
2201	18.326529
2202	18.328864
2203	18.326455
2204	18.340333
2205	18.333792
2206	18.336000
2207	18.340000
2208	18.320000
2209	18.307000
2210	18.291338
2211	18.278135
2212	18.277680
2213	18.286557
2214	18.289527
2215	18.301162
2216	18.323302
